name||set||set_code||id||type||power||toughness||loyalty||manacost||converted_manacost||artist||flavor||color||generated_mana||number||rarity||rating||ruling||variation||ability||pricing_low||pricing_mid||pricing_high||watermark||print_number||is_original||back_id||number_int||name_CN||name_TW||name_FR||name_DE||name_IT||name_JP||name_PT||name_RU||name_ES||name_KO||type_CN||type_TW||type_FR||type_DE||type_IT||type_JP||type_PT||type_RU||type_ES||type_KO||ability_CN||ability_TW||ability_FR||ability_DE||ability_IT||ability_JP||ability_PT||ability_RU||ability_ES||ability_KO||flavor_CN||flavor_TW||flavor_FR||flavor_DE||flavor_IT||flavor_JP||flavor_PT||flavor_RU||flavor_ES||flavor_KO||color_identity||fully_handled||custom_sort||legality_Block||legality_Standard||legality_Modern||legality_Legacy||legality_Vintage||legality_Highlander||legality_French_Commander||legality_Tiny_Leaders_Commander||legality_Leviathan_Commander||legality_Commander||legality_Peasant||legality_Pauper||
Kefnet's Last Word||Hour of Devastation||HOU||430728||Sorcery||||||||{2}{U}{U}||4||Clint Cearley||#_In his final moments, Kefnet reached into the minds of those around him, desperate for logic within the consuming chaos._#||U||||39||R||5||£6/27/2017 : The control-change effect of Kefnet’s Last Word lasts indefinitely. It doesn’t wear off during the cleanup step.£6/27/2017 : If the target permanent is an illegal target by the time Kefnet’s Last Word resolves, the entire spell is countered. Your lands will untap during your next untap step as normal.£6/27/2017 : Gaining control of a creature doesn’t cause you to gain control of any Auras or Equipment attached to it. They’ll remain attached, but an Aura’s effect that affects “you” still affects its controller rather than you, the controller of an Equipment can move it during his or her next main phase, and so on.£6/27/2017 : In a multiplayer game, if a player leaves the game, all cards that player owns leave as well, and any effects that give the player control of permanents immediately end.£6/27/2017 : No lands that you control will untap during your next untap step, even lands that aren’t tapped as this spell resolves. This includes lands that enter the battlefield after this spell resolves.£6/27/2017 : If more than one spell says that lands you control don’t untap during your next untap step, the effects will all wear off during that untap step. You’ll untap lands you control during your untap step after that one.||||Gain control of target artifact, creature, or enchantment. Lands you control don't untap during your next untap step.||||||||||1||True||||39||刻法涅临终谕令||刻法涅臨終諭令||Dernier mot de Kefnet||Kefnets letzte Worte||Ultima Parola di Kefnet||ケフネト最後の言葉||Última Palavra de Kefnet||Последнее Слово Кефнета||Última palabra de Kefnet||케프넷의 마지막 말||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Khenra Eternal||Hour of Devastation||HOU||430755||Creature — Zombie Jackal Warrior||2||2||||{1}{B}||2||Tomasz Jedruszek||#_For many years, servant mummies toiled in the mines to extract lazotep. The emergence of the Eternals revealed the sacred substance's true purpose._#||B||||66||C||5||£6/27/2017 : If multiple creatures block a creature with afflict, afflict triggers only once.£6/27/2017 : Afflict causes the defending player to lose life; it’s not damage or combat damage.£6/27/2017 : If a creature is attacking a planeswalker, that planeswalker’s controller is the defending player.£6/27/2017 : Afflict resolves before combat damage is dealt. If this loss of life brings a player to 0 life or less, that player loses the game immediately. A blocking creature with lifelink won’t deal combat damage in time to save that player.||||Afflict 1 #_(Whenever this creature becomes blocked, defending player loses 1 life.)_#||||||||||1||True||||66||永生胡狼人||永生胡狼人||Éternel khenra||Verewigter Khenra||Khenra Eterno||ケンラの永遠衆||Eterno Khenra||Вековечный Хенра||Eterno khenra||켄라 영생자||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Khenra Scrapper||Hour of Devastation||HOU||430789||Creature — Jackal Warrior||2||3||||{2}{R}||3||Jesper Ejsing||#_"There is no tomorrow, so hold nothing back."_#||R||||100||C||5||£4/18/2017 : You can’t exert a creature unless an effect allows you to do so. Similar effects that “tap and freeze” a creature (such as that of Decision Paralysis) don’t exert that creature.£4/18/2017 : If an exerted creature is already untapped during your next untap step (most likely because it had vigilance or an effect untapped it), exert’s effect preventing it from untapping expires without having done anything.£4/18/2017 : If you gain control of another player’s creature until end of turn and exert it, it will untap during that player’s untap step.£4/18/2017 : All cards in the Amonkhet set that let you exert a creature let you do so as you declare it as an attacking creature, as do some of the cards in the Hour of Devastation set. You can’t do so later in combat, and creatures put onto the battlefield attacking can’t be exerted. Any abilities that trigger on exerting an attacking creature will resolve before blockers are declared.||||Menace£You may exert Khenra Scrapper as it attacks. When you do, it gets +2/+0 until end of turn. #_(An exerted creature won't untap during your next untap step.)_#||||||||||1||True||||100||拆解胡狼人||拆解胡狼人||Ferrailleur khenra||Khenra-Schläger||Khenra Rissoso||ケンラの潰し屋||Sucateiro Khenra||Хенра-Поединщик||Khenra pendenciero||켄라 싸움꾼||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Kindled Fury||Hour of Devastation||HOU||430790||Instant||||||||{R}||1||Craig J Spearing||#_The minotaur stared at the Eternal bearing down on him—the embodiment of deadly skill he had aspired to become._#||R||||101||C||5||£7/1/2012 : Giving a creature first strike after creatures with first strike deal combat damage doesn’t prevent that creature from dealing combat damage.||||Target creature gets +1/+0 and gains first strike until end of turn.||||||||||5||False||||101||点燃怒火||點燃怒火||Fureur embrasée||Entzündete Wut||Furia Infuocata||火をつける怒り||Fúria Inflamada||Вспыхнувшая Ярость||Furia encendida||점화된 분노||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Lethal Sting||Hour of Devastation||HOU||430756||Sorcery||||||||{2}{B}||3||Randy Vargas||#_Initiates once believed defeat was the worst fate possible—a sentiment they quickly abandoned._#||B||||67||C||5||£6/27/2017 : If you don’t control any creatures or can’t put any -1/-1 counters on any creature you control, you can’t cast Lethal Sting.||||As an additional cost to cast Lethal Sting, put a -1/-1 counter on a creature you control.£Destroy target creature.||||||||||1||True||||67||致命毒刺||致命毒刺||Piqûre mortelle||Todbringender Stich||Puntura Letale||致死の一刺し||Ferroada Letal||Смертоносное Жало||Aguijón letal||치명적인 독침||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Life Goes On||Hour of Devastation||HOU||430810||Instant||||||||{G}||1||Daarken||#_"If you believe the God-Pharaoh tests you, charge with me to prove yourself. If you believe he betrayed us all, join with me to fight for tomorrow!"£—Samut, former Tah-crop initiate_#||G||||121||C||5||£6/27/2017 : You won’t gain more than 8 life if more than one creature died this turn.£6/27/2017 : Life Goes On checks whether a creature has died during the turn only as it resolves.||||You gain 4 life. If a creature died this turn, you gain 8 life instead.||||||||||1||True||||121||坚忍求存||堅忍求存||La vie continue||Ungebrochener Lebenswille||La Vita Continua||人生は続く||A Vida Continua||Жизнь Продолжается||La vida sigue||계속되는 삶||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Liliana's Defeat||Hour of Devastation||HOU||430757||Sorcery||||||||{B}||1||Kieran Yanner||#_"All the power you have gathered for yourself, Liliana, I can take away."£—Nicol Bolas_#||B||||68||U||5||||||Destroy target black creature or black planeswalker. If that permanent was a Liliana planeswalker, her controller loses 3 life.||||||||||1||True||||68||莉莲娜败退||莉蓮娜敗退||Défaite de Liliana||Lilianas Niederlage||Sconfitta di Liliana||リリアナの敗北||Derrota de Liliana||Поражение Лилианы||Derrota de Liliana||릴리아나의 패배||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Lurching Rotbeast||Hour of Devastation||HOU||430758||Creature — Zombie Beast||4||2||||{3}{B}||4||Jason A. Engle||#_The dead that swept across Naktamun came in all shapes and sizes._#||B||||69||C||5||||||Cycling {B} #_({B}, Discard this card: Draw a card.)_#||||||||||1||True||||69||蹒跚腐兽||蹣跚腐獸||Bête putréfiée vacillante||Modernde Fäulnisbestie||Putridonte Barcollante||よろけ腐り獣||Putrifera Trôpega||Ковыляющий Гнилозверь||Bestia pútrida tambaleante||헤매는 부패야수||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Magmaroth||Hour of Devastation||HOU||430791||Creature — Elemental||5||5||||{3}{R}||4||Yeong-Hao Han||#_Sand into glass and flesh into ash—such are the markers of its domain._#||R||||102||U||5||£6/27/2017 : Magmaroth’s second ability resolves before the spell that caused it to trigger. The ability will resolve even if that spell is countered.||||At the beginning of your upkeep, put a -1/-1 counter on Magmaroth.£Whenever you cast a noncreature spell, remove a -1/-1 counter from Magmaroth.||||||||||1||True||||102||岩浆洛斯||岩漿洛斯||Magmaroth||Magmaroth||Magmaroth||マグマロス||Magmaroth||Магмарот||Magmarot||용암괴수||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Majestic Myriarch||Hour of Devastation||HOU||430811||Creature — Chimera||*||*||||{4}{G}||5||Randy Vargas||||G||||122||M||5||£6/27/2017 : Majestic Myriarch has received minor errata to clarify its functionality. The corrected Oracle wording appears above.£6/27/2017 : Majestic Myriarch’s first ability applies in all zones. While it’s on the battlefield, it counts itself, so it’ll be at least 2/2.£6/27/2017 : Majestic Myriarch’s second ability triggers at the beginning of each combat, not just combat on your turn, whether or not any creatures you control have any of the listed abilities.£6/27/2017 : Which abilities Majestic Myriarch gains is determined as the ability resolves. They won’t change even if every other creature that has the abilities leaves the battlefield or if creatures enter the battlefield or gain abilities.£6/27/2017 : If a creature gains one of the listed abilities before Majestic Mryiarch’s triggered ability resolves, perhaps due to another ability that triggered at the beginning of combat, Majestic Myriarch will gain that ability.£6/27/2017 : Multiple instances of any of the abilities Majestic Myriarch can gain are redundant.||||Majestic Myriarch's power and toughness are each equal to twice the number of creatures you control.£At the beginning of each combat, Majestic Myriarch gains flying until end of turn if you control a creature with flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, trample, and vigilance.||||||||||1||True||||122||威严万兽王||威嚴萬獸王||Myriarque majestueux||Majestätischer Myriarch||Miriarca Maestoso||威厳ある万卒隊長||Miriarca Majestosa||Величественный Мириарх||Miriarca majestuoso||위풍당당한 만부장||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Manalith||Hour of Devastation||HOU||430853||Artifact||||||||{3}||3||Ryan Yee||#_"Though the afterlife, the city, and even the God-Pharaoh himself were one great deception, the ideals championed by the gods remain true."£—Djeru, former Tah-crop initiate_#||A||{W}{U}{B}{R}{G}||164||C||5||||||{T}: Add one mana of any color to your mana pool.||||||||||2||False||||164||魔力巨石||魔力巨石||Manalithe||Manalith||Manalito||マナリス||Manólito||Маналит||Manalito||마나석탑||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||True||||||||||||||||||||||||||||
Manticore Eternal||Hour of Devastation||HOU||430792||Creature — Zombie Manticore||5||4||||{3}{R}{R}||5||Yeong-Hao Han||#_While most Eternals were initiates who completed the trials, Bolas had plans for some of Amonkhet's other denizens._#||R||||103||U||5||£6/27/2017 : If, during your declare attackers step, Manticore Eternal is tapped or is affected by a spell or ability that says it can’t attack, then it doesn’t attack. If there’s a cost associated with having it attack, you aren’t forced to pay that cost, so it doesn’t have to attack in that case either.£6/27/2017 : If multiple creatures block a creature with afflict, afflict triggers only once.£6/27/2017 : Afflict causes the defending player to lose life; it’s not damage or combat damage.£6/27/2017 : If a creature is attacking a planeswalker, that planeswalker’s controller is the defending player.£6/27/2017 : Afflict resolves before combat damage is dealt. If this loss of life brings a player to 0 life or less, that player loses the game immediately. A blocking creature with lifelink won’t deal combat damage in time to save that player.||||Afflict 3 #_(Whenever this creature becomes blocked, defending player loses 3 life.)_#£Manticore Eternal attacks each combat if able.||||||||||1||True||||103||永生蝎狮||永生蠍獅||Éternelle manticore||Verewigter Mantikor||Manticora Eterna||マンティコアの永遠衆||Eterna Mantícora||Вековечная Мантикора||Eterno mantícora||만티코어 영생자||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Marauding Boneslasher||Hour of Devastation||HOU||430759||Creature — Zombie Minotaur||3||3||||{2}{B}||3||Victor Adame Minguez||#_With the Hekma destroyed, the wandering dead that sought entrance to Naktamun had free rein to lay waste to the city._#||B||||70||C||5||£6/27/2017 : Whether you control another Zombie is checked only as you declare blockers. Marauding Boneslasher won’t stop blocking if you don’t control one later.£6/27/2017 : The other Zombie doesn’t have to block.||||Marauding Boneslasher can't block unless you control another Zombie.||||||||||1||True||||70||劫掠碎骨怪||劫掠碎骨怪||Balafreur d'os en maraude||Marodierender Knochenmar||Razziatore Squartaossa||無法の斬骨鬼||Talha-ossos Saqueador||Бесчинствующий Костедробитель||Quebrantahuesos merodeador||약탈하는 뼈절단자||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Merciless Eternal||Hour of Devastation||HOU||430760||Creature — Zombie Cleric||2||2||||{2}{B}||3||Mathias Kollros||#_"My work here is complete. The people have done everything required of them."£—Nicol Bolas_#||B||||71||U||5||£6/27/2017 : If multiple creatures block a creature with afflict, afflict triggers only once.£6/27/2017 : Afflict causes the defending player to lose life; it’s not damage or combat damage.£6/27/2017 : If a creature is attacking a planeswalker, that planeswalker’s controller is the defending player.£6/27/2017 : Afflict resolves before combat damage is dealt. If this loss of life brings a player to 0 life or less, that player loses the game immediately. A blocking creature with lifelink won’t deal combat damage in time to save that player.||||Afflict 2 #_(Whenever this creature becomes blocked, defending player loses 2 life.)_#£{2}{B}, Discard a card: Merciless Eternal gets +2/+2 until end of turn.||||||||||1||True||||71||无情永生者||無情永生者||Éternel impitoyable||Gnadenloser Verewigter||Eterno Spietato||無慈悲な永遠衆||Eterno Impiedoso||Безжалостный Вековечный||Eterno despiadado||무자비한 영생자||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Mirage Mirror||Hour of Devastation||HOU||430854||Artifact||||||||{3}||3||Craig J Spearing||#_Most mirrors show your reflection. Others show your potential._#||A||||165||R||5||£6/27/2017 : Once Mirage Mirror’s ability resolves, it no longer has that ability.£6/27/2017 : Mirage Mirror copies the printed values of the target permanent, plus any copy effects that have been applied to it. It won’t copy counters on that permanent or effects that have changed its power, toughness, types, color, or so on. Notably, it won’t copy effects that made the target permanent become a creature.£6/27/2017 : If Mirage Mirror copies a permanent that’s copying something else, it will become whatever the target is copying.£6/27/2017 : If you activate Mirage Mirror’s ability multiple times in a turn in response to itself, then each time one of those abilities resolves, it will overwrite whatever Mirage Mirror is copying. Mirage Mirror will wind up as a copy of the permanent targeted by the last ability to resolve. When the turn ends, all instances of the ability will wear off at the same time.£6/27/2017 : If an effect begins to apply to Mirage Mirror before it becomes a copy of another permanent, that effect will continue to apply. For example, if Mirage Mirror is activated twice in response to itself targeting first Rampaging Hippo then Frilled Sandwalla, the ability it has while it’s a copy of Frilled Sandwalla can be activated and its effect will continue to apply while Mirage Mirror is a copy of Rampaging Hippo.£6/27/2017 : If Mirage Mirror becomes a creature the same turn it enters the battlefield, you can’t attack with it or use any of its {T} abilities (if it gains any) unless it has haste.£6/27/2017 : If Mirage Mirror becomes a copy of a legendary permanent you control, you’ll put one of them into your graveyard. The same is true if it becomes a copy of a planeswalker creature you control (such as Gideon of the Trials that’s become a creature).£6/27/2017 : If Mirage Mirror becomes a copy of an Aura, it’s put into its owner’s graveyard unless it’s somehow attached to an appropriate object or player already. If it becomes a copy of an Equipment and is attached to a creature, it’ll become unattached when it becomes a non-Equipment artifact again.||||{2}: Mirage Mirror becomes a copy of target artifact, creature, enchantment, or land until end of turn.||||||||||1||True||||165||幻影魔镜||幻影魔鏡||Mirage miroir||Wundersamer Spiegel||Specchio dei Miraggi||蜃気楼の鏡||Espelho das Miragens||Зеркало Миражей||Espejo ilusorio||신기루 거울||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||True||||||||||||||||||||||||||||
Moaning Wall||Hour of Devastation||HOU||430761||Creature — Zombie Wall||0||5||||{2}{B}||3||Piotr Jabłoński||#_Before the monuments, before the first trials, before Naktamun itself, Bolas culled the plane of its adults in order to rebuild it for his own designs._#||B||||72||C||5||||||Defender£Cycling {2} #_({2}, Discard this card: Draw a card.)_#||||||||||1||True||||72||悲叹之墙||悲歎之牆||Mur gémissant||Klagende Mauer||Muro dei Gemiti||呻きの壁||Muro Lamuriante||Стонущая Стена||Muro de los plañidos||신음하는 벽||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||B||True||||||||||||||||||||||||||||
Mountain||Hour of Devastation||HOU||430877||Basic Land — Mountain||||||||||0||Florian de Gesincourt||||L||{R}||188||C||5||||1||{R}||||||||||366||False||||188||山脉||山脈||Montagne||Gebirge||Montagna||山||Montanha||Гора||Montaña||산||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Mummy Paramount||Hour of Devastation||HOU||430705||Creature — Zombie||2||2||||{1}{W}||2||Josu Hernaiz||#_"It appears some mummies have begun to observe a hierarchy all their own."£—Elekh, vizier of embalming_#||W||||16||C||5||||||Whenever another Zombie enters the battlefield under your control, Mummy Paramount gets +1/+1 until end of turn.||||||||||1||True||||16||木乃伊首领||木乃伊首領||Momie suprême||Mumien-Anführer||Eminente delle Mummie||ミイラの大王||Múmia Suprema||Верховная Мумия||Momia suprema||미라 권력자||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||W||True||||||||||||||||||||||||||||
Neheb, the Eternal||Hour of Devastation||HOU||430793||Legendary Creature — Zombie Minotaur Warrior||4||6||||{3}{R}{R}||5||Chris Rahn||#_"This is what glory looks like."£—Nicol Bolas_#||R||{R}||104||M||5||£6/27/2017 : Damage dealt to a player causes that player to lose that much life.£6/27/2017 : Because it triggers at the beginning of a phase, Neheb’s last ability isn’t a mana ability. It uses the stack and can be countered by effects that interact with triggered abilities, such as that of Nimble Obstructionist.£6/27/2017 : You get a postcombat main phase even if no creatures attacked during a turn. Neheb’s last ability will trigger.£6/27/2017 : If an opponent loses life but Neheb leaves the battlefield before your postcombat main phase begins, its last ability doesn’t trigger.£6/27/2017 : Neheb’s ability checks only how much life opponents lost during the turn, not by how much their life total decreased compared to the start of the turn. For example, if an opponent lost 2 life and then gained 8 life before your postcombat main phase, you’ll add {R}{R} to your mana pool.£6/27/2017 : If an opponent loses life and subsequently loses the game before your postcombat main phase, Neheb’s last ability counts that loss of life.£6/27/2017 : If you somehow have more than two main phases in a turn, each main phase after your first one is a postcombat main phase, and Neheb’s last ability triggers at the beginning of each of them.£6/27/2017 : If multiple creatures block a creature with afflict, afflict triggers only once.£6/27/2017 : Afflict causes the defending player to lose life; it’s not damage or combat damage.£6/27/2017 : If a creature is attacking a planeswalker, that planeswalker’s controller is the defending player.£6/27/2017 : Afflict resolves before combat damage is dealt. If this loss of life brings a player to 0 life or less, that player loses the game immediately. A blocking creature with lifelink won’t deal combat damage in time to save that player.||||Afflict 3 #_(Whenever this creature becomes blocked, defending player loses 3 life.)_#£At the beginning of your postcombat main phase, add {R} to your mana pool for each 1 life your opponents have lost this turn.||||||||||1||True||||104||永生内赫布||永生內赫布||Neheb, l'Éternel||Neheb der Verewigte||Neheb, l'Eterno||永遠衆、ネヘブ||Neheb, o Eterno||Нехеб, Вековечный||Neheb, el Eterno||영생자, 네헵||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||R||True||||||||||||||||||||||||||||
Nicol Bolas, God-Pharaoh||Hour of Devastation||HOU||430829||Planeswalker — Bolas||||||7||{4}{U}{B}{R}||7||Raymond Swanland||||URB||||140||M||5||£6/27/2017 : The cards exiled by Nicol Bolas’s first and second abilities are exiled face up.£6/27/2017 : You may cast the nonland card exiled by Nicol Bolas’s first ability that turn even if Nicol Bolas is no longer on the battlefield or under your control.£6/27/2017 : Casting the card exiled with Nicol Bolas’s first ability follows the normal timing rules for casting that card. For example, if the card is a creature card, you can cast that card only during your main phase while the stack is empty.£6/27/2017 : If you don’t cast the card exiled by Nicol Bolas’s first ability that turn, it will remain exiled.£6/27/2017 : If you cast a card “without paying its mana cost,” you can’t pay any alternative costs, such as emerge costs. You can, however, pay additional costs. If the card has any mandatory additional costs, such as that of Tormenting Voice, you must pay those to cast the card.£6/27/2017 : If the card has {X} in its mana cost, you must choose 0 as the value of X when casting it without paying its mana cost.£6/27/2017 : While resolving Nicol Bolas’s second ability, each opponent chooses which cards to exile from his or her hand. Any opponent with two or fewer cards exiles his or her entire hand.£6/27/2017 : In a multiplayer game, if a player leaves the game, all cards that player owns leave as well. If you leave the game, any spell or permanent cards you control from Nicol Bolas’s first ability are exiled.||||+2: Target opponent exiles cards from the top of his or her library until he or she exiles a nonland card. Until end of turn, you may cast that card without paying its mana cost.£+1: Each opponent exiles two cards from his or her hand.£−4: Nicol Bolas, God-Pharaoh deals 7 damage to target opponent or creature an opponent controls.£−12: Exile each nonland permanent your opponents control.||||||||||1||True||||140||法老神尼可波拉斯||法老神尼可波拉斯||Nicol Bolas, Dieu-Pharaon||Nicol Bolas, Gott-Pharao||Nicol Bolas, Dio Faraone||王神、ニコル・ボーラス||Nicol Bolas, Faraó-Deus||Никол Болас, Бог-Фараон||Nicol Bolas, Dios Faraón||신 파라오 니콜 볼라스||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||UBR||True||||||||||||||||||||||||||||
Nicol Bolas, the Deceiver||Hour of Devastation||HOU||432884||Planeswalker — Bolas||||||5||{5}{U}{B}{R}||8||Svetlin Velinov||||URB||||205||M||5||£6/27/2017 : While resolving Nicol Bolas’s first ability, your opponent chooses a card to be discarded without revealing it, chooses a nonland permanent to be sacrificed, or chooses to do neither. Then that player discards that card, sacrifices that permanent, or loses 3 life. Your opponent can always choose to lose 3 life, even if he or she has cards to discard or nonland permanents to sacrifice.£6/27/2017 : In a multiplayer game, each opponent in turn order makes his or her choice for Nicol Bolas’s first ability, then all of the actions occur simultaneously. Opponents will know choices made by earlier opponents when making their choices, although a card chosen to be discarded this way isn’t revealed until it’s discarded.£6/27/2017 : If the target of Nicol Bolas’s second ability becomes illegal, the ability is countered and you won’t draw a card. If that target is legal but can’t be destroyed, most likely because it has indestructible, you still draw a card.£6/27/2017 : If Nicol Bolas’s third ability causes each opponent to have 0 or less life, but it also causes you to try to draw more cards than you have in your library, the game ends in a draw.||||+3: Each opponent loses 3 life unless that player sacrifices a nonland permanent or discards a card.£−3: Destroy target creature. Draw a card.£−11: Nicol Bolas, the Deceiver deals 7 damage to each opponent. You draw seven cards.||||||||||1||True||||205||欺瞒神龙尼可波拉斯||欺瞞神龍尼可波拉斯||Nicol Bolas, le manipulateur||Nicol Bolas, der Täuscher||Nicol Bolas, l'Ingannatore||欺瞞の主、ニコル・ボーラス||Nicol Bolas, o Enganador||Никол Болас, Обманщик||Nicol Bolas, el Embaucador||기만자, 니콜 볼라스||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||UBR||True||||||||||||||||||||||||||||
Nimble Obstructionist||Hour of Devastation||HOU||430729||Creature — Bird Wizard||3||1||||{2}{U}||3||Shreya Shetty||||U||||40||R||5||£4/18/2017 : Some cards with cycling have an ability that triggers when you cycle them. These triggered abilities resolve before you draw from the cycling ability.£4/18/2017 : Triggered abilities from cycling a card and the cycling ability itself aren’t spells. Effects that interact with spells (such as that of Cancel) won’t affect them.£4/18/2017 : You can cycle a card even if it has a triggered ability from cycling that won’t have a legal target. This is because the cycling ability and the triggered ability are separate. This also means that if either ability is countered (with Disallow, for example, or if the triggered ability’s targets have become illegal), the other ability will still resolve.£6/27/2017 : Activated abilities are written in the form “Cost: Effect.” Some keyword abilities, such as equip and eternalize, are activated abilities and will have colons in their reminder texts.£6/27/2017 : Triggered abilities use the word “when,” “whenever,” or “at.” They’re often written as “[Trigger condition], [effect].” Some keyword abilities, such as prowess and afflict, are triggered abilities and will have “when,” “whenever,” or “at” in their reminder text.£6/27/2017 : If you counter a delayed triggered ability that triggers at the beginning of the “next” occurrence of a specified step or phase, that ability won’t trigger again the following time that phase or step occurs.£6/27/2017 : Mana abilities can’t be targeted. An activated mana ability is one that adds mana to a player’s mana pool as it resolves, doesn’t have a target, and isn’t a loyalty ability. A triggered mana ability is one that adds mana to a player’s mana pool and triggers on an activated mana ability.£6/27/2017 : Abilities that create replacement effects, such as a permanent entering the battlefield tapped or with counters on it, can’t be targeted. Abilities that apply “as [this creature] enters the battlefield” are also replacement effects and can’t be targeted.||||Flash£Flying£Cycling {2}{U} #_({2}{U}, Discard this card: Draw a card.)_#£When you cycle Nimble Obstructionist, counter target activated or triggered ability you don't control.||||||||||1||True||||40||巧手干扰师||巧手干擾師||Obstructionniste agile||Wendige Quertreiberin||Ostruzionista Agile||敏捷な妨害術師||Obstrucionista Ágil||Ловкая Ограничительница||Obstruccionista hábil||영리한 의사방해자||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||U||True||||||||||||||||||||||||||||
Nissa, Genesis Mage||Hour of Devastation||HOU||432879||Planeswalker — Nissa||||||5||{5}{G}{G}||7||Chris Rallis||||G||||200||M||5||£6/27/2017 : You can activate Nissa’s first ability with fewer than four targets. For example, you could target one creature and two lands, or no creatures and two lands. You could even choose no targets at all.£6/27/2017 : While resolving Nissa’s last ability, all creatures and lands put onto the battlefield this way enter at the same time. If any have triggered abilities that trigger on something else entering the battlefield, they’ll see each other.||||+2: Untap up to two target creatures and up to two target lands.£−3: Target creature gets +5/+5 until end of turn.£−10: Look at the top ten cards of your library. You may put any number of creature and/or land cards from among them onto the battlefield. Put the rest on the bottom of your library in a random order.||||||||||1||True||||200||创生法师妮莎||創生法師妮莎||Nissa, mage de genèse||Nissa, Schöpfungsmagierin||Nissa, Maga della Genesi||創造の魔道士、ニッサ||Nissa, Maga da Gênese||Нисса, Маг Порождения||Nissa, maga del génesis||창조 마도사 니사||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Nissa's Defeat||Hour of Devastation||HOU||430812||Sorcery||||||||{2}{G}||3||Kieran Yanner||#_"The soul of this world is gone, Nissa, and I would gladly kill it again."£—Nicol Bolas_#||G||||123||U||5||£6/27/2017 : Most nonbasic lands that produce green mana aren’t Forests. For example, Desert of the Indomitable isn’t a Forest. Some nonbasic lands (such as Sheltered Thicket from the Amonkhet set) do have basic land types printed on the type line and may be Forests.||||Destroy target Forest, green enchantment, or green planeswalker. If that permanent was a Nissa planeswalker, draw a card.||||||||||1||True||||123||妮莎败退||妮莎敗退||Défaite de Nissa||Nissas Niederlage||Sconfitta di Nissa||ニッサの敗北||Derrota de Nissa||Поражение Ниссы||Derrota de Nissa||니사의 패배||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
Nissa's Encouragement||Hour of Devastation||HOU||432882||Sorcery||||||||{4}{G}||5||Tommy Arnold||||G||||203||R||5||£6/27/2017 : You can find any or all of the cards listed with Nissa’s Encouragement. You could even find none, but that wouldn’t be very encouraging.£6/27/2017 : Nissa’s Encouragement can’t be used to find a card with the land type Forest that isn’t also named Forest (such as Sheltered Thicket from the Amonkhet set).||||Search your library and graveyard for a card named Forest, a card named Brambleweft Behemoth, and a card named Nissa, Genesis Mage. Reveal those cards, put them into your hand, then shuffle your library.||||||||||1||True||||203||妮莎的鼓励||妮莎的鼓勵||Encouragement de Nissa||Nissas Zuspruch||Incoraggiamento di Nissa||ニッサの激励||Encorajamento de Nissa||Воодушевление Ниссы||Estímulo de Nissa||니사의 부양||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||G||True||||||||||||||||||||||||||||
